     2    0.12642E+04    0.54778E-01    0.27456E-02    0.35035E+01
     3    0.11700E+04    0.89163E-01    0.31740E-02    0.43164E+01
     4    0.10903E+04    0.10024E+00    0.31190E-02    0.44198E+01
     5    0.10301E+04    0.88962E-01    0.27397E-02    0.40906E+01
     6    0.98675E+03    0.65717E-01    0.22134E-02    0.35586E+01
     7    0.95683E+03    0.41788E-01    0.16822E-02    0.29696E+01
     8    0.93673E+03    0.24153E-01    0.12329E-02    0.24125E+01
     9    0.92412E+03    0.14403E-01    0.90047E-03    0.19328E+01
    10    0.91739E+03    0.10544E-01    0.68662E-03    0.15565E+01
    11    0.91475E+03    0.95094E-02    0.57411E-03    0.12929E+01
    12    0.91625E+03    0.90401E-02    0.53993E-03    0.11419E+01
    13    0.92007E+03    0.82088E-02    0.56131E-03    0.10800E+01
    14    0.92524E+03    0.72197E-02    0.61766E-03    0.10786E+01
    15    0.93204E+03    0.64802E-02    0.69615E-03    0.11182E+01
    16    0.94088E+03    0.63033E-02    0.78709E-03    0.11827E+01
    17    0.95159E+03    0.66443E-02    0.88554E-03    0.12561E+01
    18    0.96314E+03    0.71864E-02    0.98832E-03    0.13258E+01
    19    0.97630E+03    0.77314E-02    0.10945E-02    0.13856E+01
    20    0.98940E+03    0.82161E-02    0.12036E-02    0.14301E+01
    21    0.10028E+04    0.87310E-02    0.13155E-02    0.14651E+01
    22    0.10167E+04    0.94675E-02    0.14301E-02    0.14969E+01
    23    0.10311E+04    0.10510E-01    0.15470E-02    0.15274E+01
    24    0.10461E+04    0.11867E-01    0.16662E-02    0.15582E+01
    25    0.10614E+04    0.13521E-01    0.17873E-02    0.15921E+01
    26    0.10769E+04    0.15414E-01    0.19099E-02    0.16325E+01
    27    0.10928E+04    0.17497E-01    0.20342E-02    0.16765E+01
    28    0.11090E+04    0.19763E-01    0.21602E-02    0.17210E+01
    29    0.11256E+04    0.22232E-01    0.22878E-02    0.17637E+01
    30    0.11423E+04    0.24931E-01    0.24170E-02    0.18010E+01
    31    0.11591E+04    0.27823E-01    0.25476E-02    0.18298E+01
    32    0.11763E+04    0.30860E-01    0.26795E-02    0.18469E+01
    33    0.11939E+04    0.34050E-01    0.28126E-02    0.18491E+01
    34    0.12117E+04    0.37425E-01    0.29467E-02    0.18356E+01
    35    0.12297E+04    0.41022E-01    0.30814E-02    0.18111E+01
    36    0.12477E+04    0.44877E-01    0.32163E-02    0.17793E+01
    37    0.12659E+04    0.48989E-01    0.33515E-02    0.17356E+01
    38    0.12844E+04    0.53359E-01    0.34874E-02    0.16773E+01
    39    0.13034E+04    0.57998E-01    0.36236E-02    0.16078E+01
    40    0.13224E+04    0.62924E-01    0.37597E-02    0.15318E+01
    41    0.13417E+04    0.68153E-01    0.38952E-02    0.14523E+01
    42    0.13609E+04    0.73683E-01    0.40300E-02    0.13668E+01
    43    0.13803E+04    0.79507E-01    0.41639E-02    0.12709E+01
    44    0.13996E+04    0.85603E-01    0.42969E-02    0.11616E+01
    45    0.14194E+04    0.91958E-01    0.44288E-02    0.10357E+01
    46    0.14394E+04    0.98567E-01    0.45595E-02    0.88920E+00
    47    0.14597E+04    0.10544E+00    0.46888E-02    0.72434E+00
    48    0.14800E+04    0.11259E+00    0.48165E-02    0.54773E+00
    49    0.15005E+04    0.12001E+00    0.49426E-02    0.36531E+00
    50    0.15214E+04    0.12769E+00    0.50667E-02    0.17629E+00
    51    0.15424E+04    0.13562E+00    0.51887E-02   -0.22205E-01
    52    0.15639E+04    0.14386E+00    0.53085E-02   -0.23550E+00
    53    0.15853E+04    0.15256E+00    0.54261E-02   -0.46770E+00
    54    0.16067E+04    0.16169E+00    0.55412E-02   -0.71496E+00
    55    0.16282E+04    0.17121E+00    0.56538E-02   -0.97328E+00
    56    0.16501E+04    0.18098E+00    0.57639E-02   -0.12448E+01
